instance,region,score
trn1.32xlarge,us-west-2,0.3089930207203759
g5.48xlarge,ca-central-1,0.2929541550817101
r7gd.metal,eu-west-1,0.2337006913814295
gr6.4xlarge,eu-north-1,0.2265223809012033
m6gd.2xlarge,sa-east-1,0.22456481687337698
m7i.metal-48xl,ap-southeast-2,0.1859146790965309
c5.metal,eu-north-1,0.18475327128891586
c6id.32xlarge,us-east-2,0.16794658508972946
g5.24xlarge,eu-west-2,0.16520550693370642
c6id.xlarge,eu-west-2,0.16164960622881838
r6a.48xlarge,ap-northeast-1,0.15092233443664393
c6in.16xlarge,us-west-1,0.14833160699522951
m6i.metal,ap-northeast-1,0.1436778468610058
r6i.32xlarge,ca-central-1,0.1421537295048694
m8g.12xlarge,eu-central-1,0.1379174595807121
m5a.2xlarge,ap-northeast-2,0.13777488656849482
c6gn.16xlarge,ap-northeast-2,0.13025030022332196
g5.16xlarge,ca-central-1,0.12983973376984406
r5ad.24xlarge,us-east-2,0.12159800043314396
m6i.32xlarge,ap-northeast-1,0.1205392708162622
g5.12xlarge,ap-southeast-2,0.11744357444905419
m5d.24xlarge,ap-northeast-1,0.1170684967153776
x2iedn.xlarge,ap-south-1,0.11624409856614018
r7i.metal-48xl,eu-west-2,0.1146662924241879
m5n.24xlarge,ap-northeast-1,0.11275224982739683
c6id.metal,ap-northeast-2,0.11168024731875402
c7i.metal-48xl,ap-northeast-1,0.11096399970503966
r8g.24xlarge,us-east-1,0.10902438210051388
c6in.12xlarge,eu-central-1,0.10831529519971787
m6i.metal,eu-north-1,0.108123865813793
c6in.32xlarge,eu-central-1,0.10755426769216239
x2idn.24xlarge,us-east-2,0.10679490746173625
g5.24xlarge,eu-central-1,0.10673896124685589
dl1.24xlarge,us-east-1,0.1059097959417907
m5dn.12xlarge,ap-northeast-1,0.10583789226321644
c7i.24xlarge,ap-south-1,0.10348362960433953
m6in.16xlarge,eu-central-1,0.1030269757245617
r5n.16xlarge,sa-east-1,0.10206339745314305
r7g.metal,eu-central-1,0.10183254034975085
c7i.metal-24xl,ca-central-1,0.10093583271396075
c5.24xlarge,eu-north-1,0.09952700963306772
